#Ref_Name	Code	Family	Script	doc_count	image_count	token_count
Slovak	slk_Latn	Indo-European	Latin	3008599	15067234	1963804563
Slovenian	slv_Latn	Indo-European	Latin	1472025	7210285	935834754
Samoan	smo_Latn	Austronesian	Latin	12346	71359	14954824
Shona	sna_Latn	Atlantic-Congo	Latin	12698	68782	6112600
Sindhi	snd_Arab	Indo-European	Arabic	21095	74289	17647825
Somali	som_Latn	Afro-Asiatic	Latin	77343	301429	34554975
Southern Sotho	sot_Latn	Atlantic-Congo	Latin	7718	43146	6156450
Spanish	spa_Latn	Indo-European	Latin	22713366	78361087	14616773475
Sardinian	srd_Latn	Indo-European	Latin	675539	4059493	106159957
Serbian	srp_Cyrl	Indo-European	Cyrillic	604557	2286171	401223741
Sundanese	sun_Latn	Austronesian	Latin	44310	236025	13627832
Swedish	swe_Latn	Indo-European	Latin	3302730	10860518	1779284152
Swahili	swh_Latn	Atlantic-Congo	Latin	137134	593418	59454896
Silesian	szl_Latn	Indo-European	Latin	23535	132459	5996972
Tamil	tam_Taml	Dravidian	Tamil	36196	167669	4834946
Tatar	tat_Cyrl	Turkic	Cyrillic	37188	143842	22831350
Telugu	tel_Telu	Dravidian	Telugu	22974	81033	2273772
Tajik	tgk_Cyrl	Turkic	Cyrillic	125236	417591	90503778
Tagalog	tgl_Latn	Austronesian	Latin	151437	673814	97708639
Thai	tha_Thai	Kra-Dai	Thai	2983837	11621786	2839211104
Tigrinya	tir_Ethi	Afro-Asiatic	Ge‘ez	2657	8707	1725422
Tok Pisin	tpi_Latn	Indo-European	Latin	5063	35169	460853
Turkmen	tuk_Latn	Turkic	Latin	13024	57354	9766999
Turkish	tur_Latn	Turkic	Latin	4478700	12401091	2394669068
Twi	twi_Latn	Atlantic-Congo	Latin	3305	13634	495220
Uyghur	uig_Arab	Turkic	Arabic	10713	41709	6785318
Ukrainian	ukr_Cyrl	Indo-European	Cyrillic	2721424	10929796	1928351595
Urdu	urd_Arab	Indo-European	Arabic	407098	1239125	242007283
Northern Uzbek	uzn_Latn	Turkic	Latin	156632	798155	89022562
Venetian	vec_Latn	Indo-European	Latin	330611	1830777	71077531
Vietnamese	vie_Latn	Viet-Muong	Latin	12621521	47411488	11616191199
Wolof	wol_Latn	Atlantic-Congo	Latin	4658	20380	1596432
Xhosa	xho_Latn	Atlantic-Congo	Latin	25950	142387	15809823
Eastern Yiddish	ydd_Hebr	Indo-European	Hebrew	12486	57510	17369727
Yoruba	yor_Latn	Atlantic-Congo	Latin	56700	286933	32614558
Yue Chinese	yue_Hant	Sino-Tibetan	Hant	33671	203513	24172441
Chinese (Simplified)	zho_Hans	Sino-Tibetan	Hanzi	9861262	36152754	8078842701
Chinese (Traditional)	zho_Hant	Sino-Tibetan	Hant	3967966	16307258	2962854441
Standard Malay	zsm_Latn	Austronesian	Latin	1179744	5488632	432667199
Zulu	zul_Latn	Atlantic-Congo	Latin	30717	156639	11345288
